R_fighter,Avg_sig_strike_att,Avg_sig_strike_pct,Avg_TD_att,Avg_TD_landed,Avg_TD_pct,Avg_Total_strike_att,Avg_Total_strike_landed,R_Stance,Reach,Height,Winner
Mike Perry,0.8886125911755589,1.019389203590873,0.21725907456217602,0.4172698166294751,1.59924593140744,0.8759723846862476,0.8960466521214591,Orthodox,0.9466666666666667,0.9459459459459459,No
Daniel Rodriguez,1.8488422892092617,1.2276559865092749,0.15384615384615385,0.5,2.5806451612903225,1.4903339191564147,1.5359032501889645,Southpaw,1,1.028169014084507,No
Ashley Yoder,1.4544701986754967,0.8332201086956523,2.875,0.75,0.15437499999999998,1.9420687134502923,2.2290396341463414,Southpaw,1.0147058823529411,1,Yes
Brendan Allen,0.24451194688879843,1.4572705000720565,3.8641509433962264,2.3486238532110093,2.28850060950833,0.4080381715773451,0.6669759805846033,Orthodox,0.986842105263158,1.0136986301369864,No
Geraldo de Freitas,2.1363636363636362,0.8389830508474576,1.1428571428571428,0.8,0.6619718309859156,1.7424242424242424,1.4534883720930232,Orthodox,1.0434782608695652,1.0307692307692309,No
Alex Morono,Inf,Inf,0.380859375,0,0,Inf,Inf,Orthodox,0.923076923076923,0.9594594594594594,Yes
Abdul Razak Alhassan,4.9099264705882355,0.9207974137931035,2.1875,0.5625,0.145625,5.102941176470588,4.5125,Orthodox,0.948051948051948,0.9722222222222223,No
Paul Felder,1.9208128183684818,1.006605711294262,0.35482405431400177,0.003286461811082015,0.006604965298627393,1.6254004662156265,1.3971527572129683,Orthodox,1,1.0441176470588236,No
Don'Tale Mayes,5.633333333333334,0.891304347826087,0,0,0,2.402439024390244,1.4137931034482758,Orthodox,1.125,1.1142857142857143,Yes
Thiago Santos,0.9474321144354103,0.6709576186477425,0.2438468434898533,0.6269787421423212,1.1070088510059968,0.7230752985519685,0.41155033349550324,Orthodox,1,1,No
Andrei Arlovski,1.561039351935953,0.7264016947750943,0.1333067426458001,0.0471210484392941,0.0121552281267941,1.5918934171836208,1.3215485157769755,Orthodox,1.0266666666666668,1.0135135135135134,Yes
